time,open,high,low,close,tick_volume,spread,real_volume,volume
2025-05-05 10:57:00,3265.56,3265.64,3264.37,3264.77,255,5,0,255
2025-05-05 11:00:00,3264.77,3265.58,3264.72,3264.96,314,5,0,314
2025-05-05 11:03:00,3264.96,3265.56,3263.95,3265.37,393,5,0,393
2025-05-05 11:06:00,3265.37,3267.68,3265.09,3265.74,460,5,0,460
2025-05-05 11:09:00,3265.74,3265.98,3263.66,3265.95,324,5,0,324
2025-05-05 11:12:00,3265.95,3265.95,3263.4,3263.6,249,5,0,249
2025-05-05 11:15:00,3263.61,3266.62,3263.23,3265.76,274,5,0,274
2025-05-05 11:18:00,3265.76,3268.4,3265.76,3267.25,350,5,0,350
2025-05-05 11:21:00,3267.25,3269.33,3267.25,3269.21,357,5,0,357
2025-05-05 11:24:00,3269.22,3270.88,3269.21,3270.74,460,5,0,460
2025-05-05 11:27:00,3270.73,3273.66,3269.21,3272.02,482,5,0,482
2025-05-05 11:30:00,3272.0,3272.84,3270.39,3272.2,592,5,0,592
2025-05-05 11:33:00,3272.27,3272.93,3270.18,3272.8,464,5,0,464
2025-05-05 11:36:00,3272.8,3274.66,3272.2,3274.2,432,5,0,432
2025-05-05 11:39:00,3274.19,3274.32,3271.96,3274.07,385,5,0,385
2025-05-05 11:42:00,3273.99,3278.74,3273.87,3277.3,586,5,0,586
2025-05-05 11:45:00,3277.3,3278.56,3276.63,3278.05,584,5,0,584
2025-05-05 11:48:00,3278.05,3279.94,3277.82,3279.34,515,5,0,515
2025-05-05 11:51:00,3279.23,3282.67,3278.68,3281.25,655,5,0,655
2025-05-05 11:54:00,3281.28,3282.37,3280.66,3282.23,558,5,0,558
2025-05-05 11:57:00,3282.26,3283.03,3282.04,3282.73,510,5,0,510
2025-05-05 12:00:00,3282.79,3287.31,3282.34,3286.26,749,5,0,749
2025-05-05 12:03:00,3286.28,3289.89,3285.8,3288.5,938,5,0,938
2025-05-05 12:06:00,3288.5,3288.55,3285.32,3285.79,674,5,0,674
2025-05-05 12:09:00,3285.79,3287.91,3285.41,3286.75,533,5,0,533
2025-05-05 12:12:00,3286.78,3289.97,3285.57,3289.92,607,5,0,607
2025-05-05 12:15:00,3289.87,3294.36,3289.61,3294.21,667,5,0,667
2025-05-05 12:18:00,3294.21,3294.88,3292.24,3293.15,775,5,0,775
2025-05-05 12:21:00,3293.15,3300.08,3293.02,3296.68,885,5,0,885
2025-05-05 12:24:00,3296.46,3298.98,3296.35,3298.69,652,5,0,652
2025-05-05 12:27:00,3298.69,3302.29,3297.68,3302.29,654,5,0,654
2025-05-05 12:30:00,3302.29,3305.33,3302.05,3304.47,773,5,0,773
2025-05-05 12:33:00,3304.4,3304.4,3299.87,3301.28,893,5,0,893
2025-05-05 12:36:00,3301.2,3303.25,3299.96,3301.36,576,5,0,576
2025-05-05 12:39:00,3301.36,3303.58,3300.74,3302.68,450,5,0,450
2025-05-05 12:42:00,3302.68,3303.9,3300.51,3302.87,585,5,0,585
2025-05-05 12:45:00,3302.87,3304.08,3299.96,3300.61,473,5,0,473
2025-05-05 12:48:00,3300.6,3301.94,3300.49,3301.93,349,5,0,349
2025-05-05 12:51:00,3301.93,3302.92,3300.92,3301.74,383,5,0,383
2025-05-05 12:54:00,3301.77,3305.82,3301.74,3304.97,469,5,0,469
2025-05-05 12:57:00,3304.97,3309.09,3304.75,3308.76,636,5,0,636
2025-05-05 13:00:00,3308.76,3313.42,3308.76,3313.4,704,5,0,704
2025-05-05 13:03:00,3313.4,3315.56,3312.86,3313.17,723,5,0,723
2025-05-05 13:06:00,3313.17,3314.4,3310.77,3311.05,737,5,0,737
2025-05-05 13:09:00,3311.06,3311.95,3309.76,3309.97,456,5,0,456
2025-05-05 13:12:00,3309.97,3311.87,3308.57,3310.65,494,5,0,494
2025-05-05 13:15:00,3310.65,3312.87,3308.84,3312.86,624,5,0,624
2025-05-05 13:18:00,3312.84,3316.27,3312.45,3316.24,788,5,0,788
2025-05-05 13:21:00,3316.24,3318.71,3315.21,3316.41,698,5,0,698
2025-05-05 13:24:00,3316.41,3316.75,3314.08,3314.74,469,5,0,469
2025-05-05 13:27:00,3314.74,3316.01,3314.14,3314.38,322,5,0,322
2025-05-05 13:30:00,3314.39,3315.96,3313.39,3314.94,490,5,0,490
2025-05-05 13:33:00,3314.94,3316.68,3313.14,3313.98,422,5,0,422
2025-05-05 13:36:00,3313.92,3315.03,3312.57,3312.82,379,5,0,379
2025-05-05 13:39:00,3312.82,3314.3,3312.18,3314.25,342,5,0,342
2025-05-05 13:42:00,3314.25,3314.97,3313.74,3313.98,326,5,0,326
2025-05-05 13:45:00,3313.94,3314.73,3312.86,3313.52,359,5,0,359
2025-05-05 13:48:00,3313.49,3314.31,3311.86,3313.64,349,5,0,349
2025-05-05 13:51:00,3313.65,3315.21,3312.49,3315.06,439,5,0,439
2025-05-05 13:54:00,3315.05,3315.84,3313.22,3313.97,617,5,0,617
2025-05-05 13:57:00,3313.82,3314.04,3311.59,3313.38,589,5,0,589
2025-05-05 14:00:00,3313.38,3316.35,3312.05,3312.05,634,5,0,634
2025-05-05 14:03:00,3312.06,3314.68,3312.06,3313.97,395,5,0,395
2025-05-05 14:06:00,3313.98,3317.03,3313.92,3316.74,383,5,0,383
2025-05-05 14:09:00,3316.73,3317.87,3316.13,3317.45,385,5,0,385
2025-05-05 14:12:00,3317.45,3318.0,3316.5,3316.58,364,5,0,364
2025-05-05 14:15:00,3316.58,3319.05,3316.55,3318.59,427,5,0,427
2025-05-05 14:18:00,3318.59,3319.0,3315.68,3315.7,345,5,0,345
2025-05-05 14:21:00,3315.71,3316.13,3312.98,3313.68,517,5,0,517
2025-05-05 14:24:00,3313.66,3316.08,3313.57,3313.74,380,5,0,380
2025-05-05 14:27:00,3313.74,3315.47,3313.64,3314.18,313,5,0,313
2025-05-05 14:30:00,3314.31,3314.72,3312.4,3312.63,406,5,0,406
2025-05-05 14:33:00,3312.63,3314.03,3312.04,3313.23,342,5,0,342
2025-05-05 14:36:00,3313.33,3315.28,3312.45,3314.88,382,5,0,382
2025-05-05 14:39:00,3314.88,3314.96,3312.9,3313.57,326,5,0,326
2025-05-05 14:42:00,3313.8,3313.94,3312.01,3312.19,342,5,0,342
2025-05-05 14:45:00,3312.19,3312.6,3311.42,3312.05,315,5,0,315
2025-05-05 14:48:00,3312.06,3314.82,3312.02,3314.46,425,5,0,425
2025-05-05 14:51:00,3314.46,3314.85,3312.71,3312.75,375,5,0,375
2025-05-05 14:54:00,3312.75,3314.54,3311.59,3312.95,398,5,0,398
2025-05-05 14:57:00,3312.95,3313.78,3312.13,3313.05,407,5,0,407
2025-05-05 15:00:00,3312.92,3315.81,3312.92,3315.47,604,5,0,604
2025-05-05 15:03:00,3315.45,3317.81,3314.94,3317.65,550,5,0,550
2025-05-05 15:06:00,3317.67,3318.53,3315.38,3316.89,581,5,0,581
2025-05-05 15:09:00,3316.85,3317.39,3315.61,3316.58,474,5,0,474
2025-05-05 15:12:00,3316.58,3317.4,3315.29,3316.26,506,5,0,506
2025-05-05 15:15:00,3316.26,3317.69,3314.18,3317.52,495,5,0,495
2025-05-05 15:18:00,3317.52,3320.3,3317.2,3319.83,740,5,0,740
2025-05-05 15:21:00,3319.83,3320.98,3316.92,3320.32,808,5,0,808
2025-05-05 15:24:00,3320.34,3320.65,3317.81,3317.83,647,5,0,647
2025-05-05 15:27:00,3317.84,3319.43,3316.23,3318.91,595,5,0,595
2025-05-05 15:30:00,3318.92,3320.72,3317.79,3318.73,548,5,0,548
2025-05-05 15:33:00,3318.72,3318.91,3315.93,3317.69,528,5,0,528
2025-05-05 15:36:00,3317.67,3319.47,3317.47,3319.1,456,5,0,456
2025-05-05 15:39:00,3319.1,3320.94,3317.73,3320.82,457,5,0,457
2025-05-05 15:42:00,3320.82,3321.1,3319.46,3319.85,547,5,0,547
2025-05-05 15:45:00,3319.85,3320.94,3318.68,3320.35,380,5,0,380
2025-05-05 15:48:00,3320.32,3322.61,3319.96,3320.49,581,5,0,581
2025-05-05 15:51:00,3320.49,3321.69,3318.73,3320.94,586,5,0,586
2025-05-05 15:54:00,3320.95,3321.47,3320.18,3320.81,438,5,0,438
2025-05-05 15:57:00,3320.81,3321.77,3319.65,3319.66,502,5,0,502
2025-05-05 16:00:00,3319.66,3320.62,3317.98,3319.64,658,5,0,658
2025-05-05 16:03:00,3319.65,3319.65,3316.69,3318.42,650,5,0,650
2025-05-05 16:06:00,3318.42,3318.63,3316.64,3317.49,436,5,0,436
2025-05-05 16:09:00,3317.49,3317.99,3315.85,3316.14,297,5,0,297
2025-05-05 16:12:00,3316.14,3318.88,3316.04,3318.26,468,5,0,468
2025-05-05 16:15:00,3318.26,3319.99,3317.73,3319.97,302,5,0,302
