time,open,high,low,close,tick_volume,spread,real_volume,volume
2024-05-13 20:15:00,2335.84,2336.0,2334.49,2334.59,206,4,0,206
2024-05-13 20:18:00,2334.63,2336.53,2334.59,2336.43,199,5,0,199
2024-05-13 20:21:00,2336.43,2336.44,2335.52,2335.55,151,4,0,151
2024-05-13 20:24:00,2335.55,2336.25,2334.65,2336.25,170,4,0,170
2024-05-13 20:27:00,2336.26,2337.34,2335.81,2336.88,448,4,0,448
2024-05-13 20:30:00,2336.89,2337.22,2336.11,2336.32,255,4,0,255
2024-05-13 20:33:00,2336.32,2337.24,2336.22,2336.53,148,5,0,148
2024-05-13 20:36:00,2336.55,2337.9,2336.43,2337.8,179,4,0,179
2024-05-13 20:39:00,2337.72,2338.07,2337.33,2337.75,237,4,0,237
2024-05-13 20:42:00,2337.75,2338.2,2336.71,2336.73,224,4,0,224
2024-05-13 20:45:00,2336.74,2337.09,2336.38,2336.88,115,5,0,115
2024-05-13 20:48:00,2336.88,2337.16,2336.68,2336.99,77,5,0,77
2024-05-13 20:51:00,2336.99,2337.09,2336.29,2336.35,84,4,0,84
2024-05-13 20:54:00,2336.36,2336.59,2335.81,2335.81,128,5,0,128
2024-05-13 20:57:00,2335.87,2336.01,2335.5,2335.92,142,4,0,142
2024-05-13 21:00:00,2335.96,2336.51,2335.87,2336.01,131,4,0,131
2024-05-13 21:03:00,2336.01,2336.64,2335.91,2336.61,71,4,0,71
2024-05-13 21:06:00,2336.63,2336.92,2336.3,2336.52,66,4,0,66
2024-05-13 21:09:00,2336.54,2336.55,2336.21,2336.38,74,5,0,74
2024-05-13 21:12:00,2336.25,2337.28,2336.16,2336.97,111,4,0,111
2024-05-13 21:15:00,2337.02,2337.42,2336.92,2337.32,147,4,0,147
2024-05-13 21:18:00,2337.34,2337.42,2337.01,2337.22,55,5,0,55
2024-05-13 21:21:00,2337.3,2337.61,2337.11,2337.22,94,4,0,94
2024-05-13 21:24:00,2337.12,2337.16,2336.31,2337.02,87,4,0,87
2024-05-13 21:27:00,2337.02,2337.02,2336.02,2336.16,82,4,0,82
2024-05-13 21:30:00,2336.21,2336.74,2335.81,2336.72,127,4,0,127
